10:32:51.577 [sandbox-akka.actor.default-dispatcher-5] INFO  akka.event.slf4j.Slf4jLogger - Slf4jLogger started 
10:32:53.164 [sandbox-akka.actor.default-dispatcher-6] INFO  c.d.platform.apiserver.ApiServices - DAML LF Engine supports LF versions: 0, 0.dev, 1.0, 1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.dev; Transaction versions: 1, 2, 3, 4, 5, 6, 7, 8, 9; Value versions: 1, 2, 3, 4, 5, 6, 7 (context: {participantId=sandbox-participant}) 
10:32:53.685 [sandbox-akka.actor.default-dispatcher-6] INFO  c.d.p.apiserver.LedgerApiServer - Listening on localhost:6865 over plain text. (context: {participantId=sandbox-participant}) 
10:32:53.703 [sandbox-akka.actor.default-dispatcher-6] INFO  c.d.platform.sandbox.SandboxServer - Initialized sandbox version 100.13.55 with ledger-id = sandbox-17b7d120-c508-4669-a5ee-34356e87f898, port = 6865, dar file = List(.daml/dist/dablchat-1.7.2.dar), time mode = static time, ledger = in-memory, auth-service = AuthServiceWildcard$, contract ids seeding = no 
10:38:16.549 [sandbox-akka.actor.default-dispatcher-6] INFO  c.d.p.a.services.ApiCommandService - Shutting down Command Service (context: {participantId=sandbox-participant}) 
10:38:16.550 [sandbox-akka.actor.default-dispatcher-6] INFO  c.d.p.a.services.tracking.TrackerMap - Shutting down 0 trackers (context: {participantId=sandbox-participant}) 
10:38:16.609 [sandbox-akka.actor.default-dispatcher-8] WARN  akka.actor.CoordinatedShutdown - Could not addJvmShutdownHook, due to: Shutdown in progress akkaAddress=akka://sandbox, sourceThread=pool-1-thread-6, akkaSource=CoordinatedShutdown(akka://sandbox), sourceActorSystem=sandbox, akkaTimestamp=14:38:16.608UTC
11:12:51.938 [sandbox-akka.actor.default-dispatcher-4] INFO  akka.event.slf4j.Slf4jLogger - Slf4jLogger started 
11:12:53.613 [sandbox-akka.actor.default-dispatcher-5] INFO  c.d.platform.apiserver.ApiServices - DAML LF Engine supports LF versions: 0, 0.dev, 1.0, 1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.dev; Transaction versions: 1, 2, 3, 4, 5, 6, 7, 8, 9; Value versions: 1, 2, 3, 4, 5, 6, 7 (context: {participantId=sandbox-participant}) 
11:12:54.150 [sandbox-akka.actor.default-dispatcher-5] INFO  c.d.p.apiserver.LedgerApiServer - Listening on localhost:6865 over plain text. (context: {participantId=sandbox-participant}) 
11:12:54.168 [sandbox-akka.actor.default-dispatcher-5] INFO  c.d.platform.sandbox.SandboxServer - Initialized sandbox version 100.13.55 with ledger-id = sandbox-41eaa7ec-0816-474c-b309-678202fb058f, port = 6865, dar file = List(.daml/dist/dablchat-1.7.2.dar), time mode = static time, ledger = in-memory, auth-service = AuthServiceWildcard$, contract ids seeding = no 
11:18:22.624 [sandbox-akka.actor.default-dispatcher-10] INFO  c.d.p.a.s.ApiSubmissionService - Submission of command rejected: INVALID_ARGUMENT: Command interpretation error in LF-DAMLe: The following errors occured: node NodeId(0) (Identifier(5382296f313778b4ac9f4236d71126198e68ba177175836b6e24cc71e6ef00e9,Chat.V1:CreateChatRequest)) requires authorizers Alice, but only Bob were given. Details: N/A. (context: {participantId=sandbox-participant, commandId=875cfc5d1797651b, parties=[Bob]}) 
11:19:11.281 [sandbox-akka.actor.default-dispatcher-10] INFO  c.d.p.a.s.ApiSubmissionService - Submission of command rejected: INVALID_ARGUMENT: Command interpretation error in LF-DAMLe: The following errors occured: node NodeId(0) (Identifier(5382296f313778b4ac9f4236d71126198e68ba177175836b6e24cc71e6ef00e9,Chat.V1:CreateChatRequest)) requires authorizers Alice, but only Bob were given. Details: N/A. (context: {participantId=sandbox-participant, commandId=f2793d97263f5ef8, parties=[Bob]}) 
11:31:21.130 [sandbox-akka.actor.default-dispatcher-10] INFO  c.d.p.a.s.ApiSubmissionService - Submission of command rejected: INVALID_ARGUMENT: Command interpretation error in LF-DAMLe: The following errors occured: node NodeId(0) (Identifier(5382296f313778b4ac9f4236d71126198e68ba177175836b6e24cc71e6ef00e9,Chat.V1:CreateChatRequest)) requires authorizers Alice, but only Bob were given. Details: N/A. (context: {participantId=sandbox-participant, commandId=12b015cf71170619, parties=[Bob]}) 
11:46:20.564 [sandbox-akka.actor.default-dispatcher-5] INFO  c.d.p.a.services.ApiCommandService - Shutting down Command Service (context: {participantId=sandbox-participant}) 
11:46:20.565 [sandbox-akka.actor.default-dispatcher-5] INFO  c.d.p.a.services.tracking.TrackerMap - Shutting down 0 trackers (context: {participantId=sandbox-participant}) 
11:46:20.612 [sandbox-akka.actor.default-dispatcher-5] WARN  akka.actor.CoordinatedShutdown - Could not addJvmShutdownHook, due to: Shutdown in progress akkaAddress=akka://sandbox, sourceThread=pool-1-thread-7, akkaSource=CoordinatedShutdown(akka://sandbox), sourceActorSystem=sandbox, akkaTimestamp=15:46:20.611UTC
